UGT1A1_allele	African_American_Afro_Caribbean	American	Central_South_Asian	East_Asian	European	Latino	Near_Eastern	Oceanian	Sub_Saharan_African
*27/*28	3.734e-07	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	3.076e-07	4.32e-08	4e-07
*27/*36	8.45e-08	1e-12	1e-12	1e-12	1e-12	1e-12	7.9e-09	1e-12	6.98e-08
*27/*37	5.7e-08	1e-12	1e-12	1e-12	7e-10	1e-12	4.3e-09	1e-12	3.71e-08
*27/*80	4.5029999999999995e-07	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	1e-12	1e-12	1e-12
*27/*80+*28	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*27/*80+*37	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*28/*1	0.22273310000000002	1e-12	0.31441922	0.1190956	0.2480727	0.31848000000000004	0.20919876	0.041333760000000004	0.23620000000000002
*28/*6	0.0014936	1e-12	0.018597580000000002	0.021652400000000002	0.00250035	0.00464	3.076e-07	4.32e-08	4e-07
*28/*27	3.734e-07	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	3.076e-07	4.32e-08	4e-07
*28/*28	0.13942756	1e-12	0.17156164000000002	0.021903999999999996	0.10017225	0.16000000000000003	0.09461776	0.0018662400000000001	0.16000000000000003
*28/*36	0.031552300000000005	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	0.00243004	4.32e-08	0.02792
*28/*37	0.021283800000000002	1e-12	4.142e-07	1.4799999999999998e-07	0.00022155	4e-07	0.00132268	4.32e-08	0.01484
*28/*80	0.16814202	1e-12	4.142e-07	1.4799999999999998e-07	0.0994443	0.15308	3.076e-07	4.32e-08	4e-07
*28/*80+*28	3.734e-07	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	3.076e-07	4.32e-08	4e-07
*28/*80+*37	3.734e-07	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	3.076e-07	4.32e-08	4e-07
*36/*1	0.050404250000000005	1e-12	7.591e-07	8.046999999999999e-07	7.838e-07	7.962e-07	0.0053727900000000006	9.567999999999999e-07	0.0412169
*36/*6	0.00033800000000000003	1e-12	4.49e-08	1.463e-07	7.9e-09	1.1599999999999998e-08	7.9e-09	1e-12	6.98e-08
*36/*27	8.45e-08	1e-12	1e-12	1e-12	1e-12	1e-12	7.9e-09	1e-12	6.98e-08
*36/*28	0.031552300000000005	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	0.00243004	4.32e-08	0.02792
*36/*36	0.007140250000000001	1e-12	1e-12	1e-12	1e-12	1e-12	6.241000000000001e-05	1e-12	0.00487204
*36/*37	0.0048165000000000005	1e-12	1e-12	1e-12	7e-10	1e-12	3.397e-05	1e-12	0.00258958
*36/*80	0.038050350000000004	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	7.9e-09	1e-12	6.98e-08
*36/*80+*28	8.45e-08	1e-12	1e-12	1e-12	1e-12	1e-12	7.9e-09	1e-12	6.98e-08
*36/*80+*37	8.45e-08	1e-12	1e-12	1e-12	1e-12	1e-12	7.9e-09	1e-12	6.98e-08
*37/*1	0.0340005	1e-12	7.591e-07	8.046999999999999e-07	0.0005486600000000001	7.962e-07	0.00292443	9.567999999999999e-07	0.02190755
*37/*6	0.000228	1e-12	4.49e-08	1.463e-07	5.53e-06	1.1599999999999998e-08	4.3e-09	1e-12	3.71e-08
*37/*27	5.7e-08	1e-12	1e-12	1e-12	7e-10	1e-12	4.3e-09	1e-12	3.71e-08
*37/*28	0.021283800000000002	1e-12	4.142e-07	1.4799999999999998e-07	0.00022155	4e-07	0.00132268	4.32e-08	0.01484
*37/*36	0.0048165000000000005	1e-12	1e-12	1e-12	7e-10	1e-12	3.397e-05	1e-12	0.00258958
*37/*37	0.003249	1e-12	1e-12	1e-12	4.9e-07	1e-12	1.849e-05	1e-12	0.00137641
*37/*80	0.025667099999999998	1e-12	1e-12	1e-12	0.00021993999999999998	3.8269999999999995e-07	4.3e-09	1e-12	3.71e-08
*37/*80+*28	5.7e-08	1e-12	1e-12	1e-12	7e-10	1e-12	4.3e-09	1e-12	3.71e-08
*37/*80+*37	5.7e-08	1e-12	1e-12	1e-12	7e-10	1e-12	4.3e-09	1e-12	3.71e-08
*80/*1	0.26860395	1e-12	7.591e-07	8.046999999999999e-07	0.24626996	0.30470574	6.801e-07	9.567999999999999e-07	5.905e-07
*80/*6	0.0018012	1e-12	4.49e-08	1.463e-07	0.00248218	0.004439319999999999	1e-12	1e-12	1e-12
*80/*27	4.5029999999999995e-07	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	1e-12	1e-12	1e-12
*80/*28	0.16814202	1e-12	4.142e-07	1.4799999999999998e-07	0.0994443	0.15308	3.076e-07	4.32e-08	4e-07
*80/*36	0.038050350000000004	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	7.9e-09	1e-12	6.98e-08
*80/*37	0.025667099999999998	1e-12	1e-12	1e-12	0.00021993999999999998	3.8269999999999995e-07	4.3e-09	1e-12	3.71e-08
*80/*80	0.20277009	1e-12	1e-12	1e-12	0.09872163999999999	0.14645929	1e-12	1e-12	1e-12
*80/*80+*28	4.5029999999999995e-07	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	1e-12	1e-12	1e-12
*80/*80+*37	4.5029999999999995e-07	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	1e-12	1e-12	1e-12
*80+*28/*1	5.965e-07	1e-12	7.591e-07	8.046999999999999e-07	7.838e-07	7.962e-07	6.801e-07	9.567999999999999e-07	5.905e-07
*80+*28/*6	4e-09	1e-12	4.49e-08	1.463e-07	7.9e-09	1.1599999999999998e-08	1e-12	1e-12	1e-12
*80+*28/*27	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*80+*28/*28	3.734e-07	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	3.076e-07	4.32e-08	4e-07
*80+*28/*36	8.45e-08	1e-12	1e-12	1e-12	1e-12	1e-12	7.9e-09	1e-12	6.98e-08
*80+*28/*37	5.7e-08	1e-12	1e-12	1e-12	7e-10	1e-12	4.3e-09	1e-12	3.71e-08
*80+*28/*80	4.5029999999999995e-07	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	1e-12	1e-12	1e-12
*80+*28/*80+*28	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*80+*28/*80+*37	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*80+*37/*1	5.965e-07	1e-12	7.591e-07	8.046999999999999e-07	7.838e-07	7.962e-07	6.801e-07	9.567999999999999e-07	5.905e-07
*80+*37/*6	4e-09	1e-12	4.49e-08	1.463e-07	7.9e-09	1.1599999999999998e-08	1e-12	1e-12	1e-12
*80+*37/*27	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*80+*37/*28	3.734e-07	1e-12	4.142e-07	1.4799999999999998e-07	3.165e-07	4e-07	3.076e-07	4.32e-08	4e-07
*80+*37/*36	8.45e-08	1e-12	1e-12	1e-12	1e-12	1e-12	7.9e-09	1e-12	6.98e-08
*80+*37/*37	5.7e-08	1e-12	1e-12	1e-12	7e-10	1e-12	4.3e-09	1e-12	3.71e-08
*80+*37/*80	4.5029999999999995e-07	1e-12	1e-12	1e-12	3.1419999999999994e-07	3.8269999999999995e-07	1e-12	1e-12	1e-12
*80+*37/*80+*28	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*80+*37/*80+*37	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
